Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
52e21fa832c7ad49cf5b3bdc0b1e4ca2d7e04986507c8fa997e242eac45faf6b,2019-08,City of London Police,City of London Police,,,No location,,,Suspect charged
a6d45c5f5685b5695b812f98cb0f1880b3fa1e18ad3ab4c9941551a0b372b6da,2019-08,City of London Police,City of London Police,,,No location,,,Suspect charged
de40fee40970d9cdad6f20f65ea01f526d8784c05852d0c42c9de5bd9175760e,2019-08,City of London Police,City of London Police,,,No location,,,Local resolution
de40fee40970d9cdad6f20f65ea01f526d8784c05852d0c42c9de5bd9175760e,2019-08,City of London Police,City of London Police,,,No location,,,Local resolution
1c0d001f194c68b337598e3de1053df0cc5bdc870fc84ae2359dcf63e763e3a1,2019-08,City of London Police,City of London Police,,,No location,,,Local resolution
68c37ed25072267dab87771d212fc2f14d4c53d07bb25862ae78841380dfa7af,2019-08,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
246092b7759f1d063e7d9120bb25522c0c106bc7c0fa1818a07a4a00d536e4c6,2019-08,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
bbd423f7dcef06bc9a8f0421bcdb90f5109449339989b975309b2da42f154b68,2019-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
0900d79255682d201953a90c08ee0f53897604b155989071259bd816da5dcd3e,2019-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
9749090906e0904760b0eff7e2e90a6ceb9be5672cc8877cd7fd92dc5f745917,2019-08,City of London Police,City of London Police,,,No location,,,Unable to prosecute suspect
cfc11228d07c57535cb96649ecfe067d83b6a54723f2251a1dc2b8a31fbdaf07,2019-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
27472c9aeb0f666954492cbfe5a1d4983f92ec172303a9763eefc0637d3bad5c,2019-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
d75c66ba121ebf3c27e0bbc926d92dcc7937bf4d227c824b238cafade8832aff,2019-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
5bf1e0936b7d12d71f7035d9e0c5548a8f9af9a2ef4d67c31a1103fc8bfa1125,2019-08,City of London Police,City of London Police,,,No location,,,Investigation complete; no suspect identified
